App,Description,Rating,Number of ratings,Price,Dangerous permissions count,Safe permissions count,Class,Package,Related apps
The ProPay App,"The ProPay App allows you to securely process credit and debit cards in real-time from your phone.  The ProPay App is for ProPay Accountholders who have purchased a compatible card reader such as the ProPay JAK???.  All you have to do is download the app, attach your card reader, and go!<br> <br>The ProPay App supports the new ProPay JAK???a secure card reader that plugs into the audio jack of your Smartphone or device. Your customers??? payment card data is encrypted on its reader head (at swipe) ensuring your customers??? data is protected.<br> <br>ProPay App Key Features:<br>??         Suspended Payments ??? Store encrypted transactions when you don???t have coverage and process them later (Coming Soon!).<br>??         Capture Customer???s Signature ??? Capture your customers??? signature at the point of sale.<br>??         Store Customer Payment Information Securely ??? Place the card data securely ???On File??? with ProtectPay?? Online for future billing (Coming Soon!).<br>??         Smart Toggle Mode ??? Toggle between real-time processing and store-for-later (suspended) processing (Coming Soon!).<br>??         E-mail Receipt ??? Send an e-mail receipt to your customers.<br>??         Account Functions ??? Check your ProPay Account information. <br> <br>ProPay JAK Key Features:<br>??         Security ??? The ProPay JAK immediately encrypts the magstripe data at swipe ensuring sensitive payment data is protected from malware potentially on your phone.<br>??         Dependable Reads ??? The ProPay JAK reads up to 3 tracks of information with a single swipe, in either direction, providing superior reading performance.<br>??         Convenient Attachments ??? Secure the reader to your phone so it doesn???t spin around and risk damage to your audio jack.<br> <br>Compatibility & Requirements:<br>??          A ProPay Account with an active ProtectPay Online subscription is required.<br>??          The ProPay JAK is currently compatible with:<br>o    Motorola Milestone, Droid 2, DROID X, Droid Pro, Xoom Tab, Droid Defy<br>o    HTC Eris, Incredible, Hero, EVO 4G, EVO Shift 4G, Aria, Desire, My Touch 4G, Google Nexus One, G2<br>o    Samsung Epic, Fascinate, Captivate, Galaxy Tab, Continuum, Nexus S, Infuse<br>o    LG Optimus S, Ally, Optimus T<br>o    Dell Streak<br> <br>Learn More: <a href=""http://www.google.com/url?q=http://www.propay.com&usg=AFQjCNEl9v7Qg0DqpBM2arvZhk4A3gBUQQ"" target=""_blank"">www.propay.com</a>",5.0,6,0.0,4,0,0,com.propay.mobile,"['com.internetsecure.android', 'com.ePN.ePNMobile.ePNMobileAndroid', 'net.ideposit', 'com.chargeanywhere.chargeanywhere']"
Tax Central,"Tax season can be filled with questions and we are here to help. Download our FREE app and tap into our more than 50 years of tax experience ??? no matter where you go!<p>???With the H&R Block mobile app you can:???<br> - Check the status of your Federal refund.<br> - Get instant answers to the most popular questions being asked by tax filers just like you!  <br> - Create a customized checklist.  Whether you're completing your taxes in an office or doing them yourself, we will help you figure out what you need, and will keep you informed of important dates pertaining to your personal tax situation.<br> - Quickly estimate your tax refund with our in-app Tax Estimator.<br> - Stay informed of things that could impact your tax situation with our Video Gallery and News & Updates feature.  <br> - Test your tax know-how with our interactive quiz. What will you score? <br> - Access hundreds of tax terms with our A-Z Glossary.  <br> - Find an office - use GPS or your ZIP code to find an H&R Block office near you.",2.9,144,0.0,7,3,0,com.hrblock.taxcenter,"['smartapps.taxcalculator', 'com.oe.mytaxback', 'com.palmerfinancial.reference', 'com.FiCal']"
Lottery Generator,Now picking your lottery number is easy as a button click away with My Lotto Numbers! Just hit generate and watch your lucky numbers appear right before your eyes! This application is praised for its simplicity and accuracy. Don't waste your phone's memory on stuff you DONT need! <p>*************************UPDATE 2.0****************************************<br>-REDESIGNED GUI !!!!!!!!!!!!!!!! <br>-App is rebuilt from ground up on this new update for all the owners and i hope you like!<br>*******************************UPDATE 3.0********************************<br>-FULL SCREEN<br>-NOW YOU CAN SEARCH FOR THE WINNING NUMBERS ON ANY DATE!*<br>-NUMBERS ARE NOW ORDERED FROM LEAST TO HIGHEST<br>***************************************************************************<br>                                     SOON TO COME!!!!<br>-Search between multiple lotteries for your date OR number!<br>-Please comment if you have an idea and thank you soo much for the download!<p>*Only Florida Lottery is supported through the search feature.,5.0,3,0.0,1,0,0,com.lotto.gen,"['nao.StockLite', 'com.fas']"
the_Max!,"the_Max! eBranch mobile app provides easy and secure access to your Northrop Grumman FCU accounts.  Easily check your balances, make transfers, pay your bills, or find nearby branch locations or ATMs.  the_Max! eBranch is available to all Northrop Grumman Federal Credit Union members.<p>Features:<br>- Check balances.<br>- View transaction history.<br>- Transfer money between your accounts.<br>- Pay your bills.<br>- Find NGFCU branch/ATM locations, CU Service Center locations and CO-OP ATMs.",4.7,6,0.0,2,0,1,us.ngfcu.MobileBanking,"['com.mshift.android.fandafcuV2', 'com.softek.ofxclmobile.financialpartnerscu', 'mdr.marketspro', 'com.sfcu.org']"
PNC Mobile,"Get 24/7 access to PNC Bank accounts and find the nearest branch or ATM.<p>PNC Mobile allows you to check balances, view transactions, make one-time bill payments, transfer funds, and locate PNC branches and ATMs. <p>With PNC???s Security Assurance, you can be confident that your personal and financial information will be protected while using PNC Mobile.",4.0,4418,0.0,1,0,0,com.pnc.ecommerce.mobile,"['com.dollarbank.onlinebanking', 'com.ifs.mobilebanking.fiid7281', 'com.nationwide.mobile.android.nwmobile', 'com.softek.ofxclmobile.kembacu']"
My CheckOut with Ads,"All the power of checkout (tm) on your mobile device, with more features!<p>My CheckOut lets you view the movements in Google Checkout (tm) intuitively, allows you to receive automatic notifications, and allows you to obtain graphs reveal the status of your sales, likewise, are other utilities, such as sending marketing to your customers (only those who have enabled the sending of marketing).<p>I am a developer of apps, like you needed a tool like this that allows me to decide and evaluate what decisions to make, and you, how you make decisions blindly? ...<p>Languages ??????supported:<p>* Spanish.<br>* English (default).<p>Soon adding more languages ??????...<p>This version of My CheckOut it's free of charge, but they are developed with Ads :)",5.0,3,0.0,2,1,1,tarsys.mycheckoutads,"['iae.home.money2011.v2', 'br.com.fabiosistemas.virtualcalculator', 'com.droidbean.admobwidget', 'nl.dedicado.android.mst']"
AAStocks M-Winner,"AASTOCKS is Hong Kong???s NO.1 professional financial website, the most authoritative financial information and analysis solutions provider and has been well recognized by investors.<p>According to Nielsen Online SiteCensus statistics, AASTOCKS always has the highest impression count among all Hong Kong???s financial websites.<p>Quote Service<br>- Free Real-time HK Stock Quote <br>- Real-time Streaming Quote, Streaming Dual Quote Interface, Bid/Ask Queue & Brokers Queue<br>- Real-time Technical analysis, with over 20 of most popular technical indicators<br>- Real-time Top 20, Index Constituents<br>- Real-time ???My Portfolio??? ??? Real-time monitor all stocks within the portfolio.<br>- A+H, ETFs<p>Market information<br>- Hong Kong, China, World and CSI Indices<br>- Financial News<br>- Dividend Announcement, Industry Constituents<p>Other Functions<br>- Shortcut to Online Trading Platform<br>- Share AAStocks Financial News via Facebook<p>Remarks: Recommended screen resolution is 320 X 480 or above",3.7,547,0.0,3,1,1,com.aastocks.dzh,"['com.gravitas.etnet', 'com.webihk.StockExpenses', 'hk.liarsing.hkfinews.free', 'com.megahub.chief.mtrader.activity']"
Improving Your Credit Score,"Discover The Secrets Of Boosting Your Credit Rating!<p>Here is just SOME of the information you will find inside:<p>â˜… What's a good credit score? And at what score should I start to be worried.<p>â˜… Even if you pay all your bills on time, you may still have marks against your credit. See why here.<p>â˜… 3 top credit agencies and how to keep tabs on them.<p>â˜… 4 ways the credit bureau's look at your lending history - and how important each view is.<p>â˜… 3 ways to boost your credit score (and it's not just paying your bills).<p>â˜… 10 steps to protecting your identity from thieves who may destroy your credit on their joyride across the country.<p>â˜… 4 steps to take right away if you think you've been a victim of identity theft. It may not be too late.<p>â˜… 5 common credit mistakes you may commit if you don't know about them in advance.<p>â˜… How not having any debts may actually hurt your credit score.<p>â˜… How to dispute bad marks on your credit report.<p>â˜… After you contact the credit bureau about an error in your credit report, make sure you contact these people next.<p>â˜… The truth about &quot;free credit reports&quot; online.<p>â˜… 3 ways to start building up trust after a major credit disaster.<p>â˜… When to consider declaring bankruptcy.<p>â˜… 5 organizations that can help you when you're in over your head.<p>â˜… When you should fear credit repair companies.<p>â˜… 6 common scams some credit repair companies try and pull.<p>â˜… How to use your bank as an ally in your fight against bad credit.<p>â˜… 5 ways to curb your spending habit.<p>â˜… How to automatically cut down on your spending without beating yourself up.<p>â˜… 6 ideas for adding extra dollars to your monthly income.<p>â˜… 4 steps to preparing ahead of time for financial emergencies.<p>â˜… The secret to changing the way you think about money.<p>â˜… 7 most common reasons why credit scores are lowered.<p>â˜… 3 reasons why change in your life is not always a good thing.<p>â˜… How a simple phone call may help out your credit.<p>â˜… When a &quot;late fee&quot; is easily waived.<p>â˜… The secret to setting short-term goals to repair your credit yourself.<p>â˜… When seemingly small differences in credit scores can have a huge impact on the interest you pay.<p>â˜… How to set your finances on autopilot.<p>â˜… When refinancing is the best option.<p>â˜… What you should always know before talking to a lender.<p>â˜… How to encourage a potential lender to look at you instead of your credit rating.<p>â˜… How to make paying your bills easier on yourself.<p>â˜… How you can take advantage of being a student while trying to repair your credit.<p>â˜… The secret to handling student loans (and when you may be able to award yourself a six month grace period on paying your bills).<p>â˜… When to take out a loan to repay your debts.<p>â˜… Which &quot;cash advance&quot; agencies to stay away from (or you risk destroying your credit).<p>â˜… 6 ways to handle the stress of being in debt.<p>â˜… and much, Much More!<p>*** On Sale Now! (Normal Price $15.99) ***<p>Get it now before promotion ends!",0.0,0,1.37,1,0,1,com.koolappz.EP77703300001,"['com.example2.Econ', 'com.financial.calculator.pro', 'com.apernix.businessmileage', 'com.iquick.debt']"
Boulder Valley CU Mobile,"Boulder Valley CU Mobile Banking allows you to check balances, view transaction history, transfer funds, and pay loans on the go!<br>Features:<br>- Check Balances<br>- View Transaction History<br>- Transfer Funds<br>- Pay Loans<p>*Mobile Banking requires members be enrolled in Online Banking.<br>Visit <a href=""http://www.google.com/url?q=http://www.bvcu.org&usg=AFQjCNEvh6Al2cE0ivHaOXXbFa6-V4QGZw"" target=""_blank"">www.bvcu.org</a> for further details.<p>Keywords: Boulder Valley Credit Union, Boulder Valley",3.7,14,0.0,2,0,1,com.softek.ofxclmobile.bouldervalleycu,"['com.familylawsoftware.childsupport.PA', 'com.softek.ofxclmobile.fiberglasfcu', 'com.softek.ofxclmobile.valleyfirstcu', 'com.softek.ofxclmobile.oregonemployeesfcu']"
aCurrency Pro (with widget),"A currency converter for 180+ currencies with hourly exchange rates update<p>??? Home-screen widgets<br>??? 1-to-1 exchange rate calculator<br>??? History charts, 7-day to 2-year<br>??? Chart shows changes between two dates<br>??? Track multi-currency<br>??? Inverse conversion<br>??? Show percentage change since the previous day<br>??? Auto update exchange rates<br>??? Support portrait & landscape mode<br>??? Offline access<br>??? Import/export the currency list<br>??? Auto refresh widgets at you specified interval<br>??? Take screenshot for sharing<p>Don't install this app on SD card; otherwise widget functions won't work!<p>Reviews:<br>??? <a href=""http://www.google.com/url?q=http://www.androidwidget.info/acurrency-widget/&usg=AFQjCNEwH1wKF-ev43i8K69X-FqvM_1RRw"" target=""_blank"">http://www.androidwidget.info/acurrency-widget/</a><p>Support SonyEricsson LiveDock devices.<br>com.sonyericsson.extras.ATTACHED<p>We have been selected as a Google I/O 2011 Developer Sandbox partner, for its innovative design and advanced technology.",4.4,203,3.49,3,1,1,com.a0soft.gphone.aCurrencyPro,"['sk.halmi.ccalcpluss', 'com.pocketools.pro.stockalert', 'com.financial.calculator.pro', 'ru.orangesoftware.financisto.support']"
MasterCard ATM Hunter,"Find ATMs located around the world with MasterCard's ATM Hunter.<p>Find ATMs located around the world with your phone's GPS, by entering an address or an airport location, from wherever you happen to be.<p>The MasterCard ATM Hunter makes it fast and easy for you to locate the closest ATM location. And because the ATM Hunter is location aware, there???s no need to input your address or current location, no matter where in the world you are. <p>The ATM Hunter lets you tailor your search on what you want to do. If you need to make a deposit or want to use your own bank to avoid fees, you can search for your specific bank???s ATMs. If you just need to pick up some cash, you can search for all nearby ATM locations.<p><br>FEATURES:<p>Finds ATMs based on your current location.<p>Find ATMs based on any address or airport location in the world. <p>Tells you whether an ATM is a bank ATM or an ATM in a local store, as well as exactly where it???s located, i.e., at a store, gas station, etc. <p>Locates your own bank???s ATMs when you want to make a deposit or a withdrawal.<p>Provides you with the distance between your chosen location and the closest ATM <p>Filters your ATM search based on the following features: Drive through, 24-hr. service, wheelchair accessible, surcharge fees, and deposit sharing.<p>Provides you with driving directions and a map to the nearest ATM locations.<p>Allows you to share ATM locations with others via SMS.<p>Enables you to provide us with feedback for any faulty ATMs we locate.<p>Gives you helpful tips on how to be smarter with your money and safer at ATM locations with the click of a button.",3.1,124,0.0,4,0,0,com.orbiscom.ATMHunter,"['com.nexusphone.buddycount', 'cellum.android.mastercard.mobile', 'com.moneypass', 'com.virtualni_atelier.kamatax']"
My Budget Planner,"My Budget Planner is one of the easiest app to keep track of all your daily expenses but also planning your budget. In daily life use, My Budget Planner provides handy use for tracking your daily expense transactions and income transactions.<p>~ Planning helps you to aspire monthly budget with categorized in Income and expense, which enables the budget planning treats.<br>~ Generic Category option is provided for opportune for user<br>~ Provide materialized Reports for Income and expense wise for transaction, planning and budget.<p>~ Graph acknowledges enrich explorer view for simplified understanding.<br>~ Utility provides in-between work like calculator, calendar. <br>~ Secure Login enables your transaction protected; Lock the app with a password.<br>~ Graph and reports with date filters.<p>My Budget Planner includes<br>Inputs to App<br>1)	Planning: - So user can record its budget of the month.<br>2)	Transaction: - Records daily income/expense transaction of the user.<br>3)	Category: - To Add/Update/Delete various custom categories of income and expense.<p>Output of App<br>1)	Planning graph: - Displays graphical representation which shows total planned income/expense budget of the month.<br>2)	Transaction graph: - Displays graphical representation which shows total income/expense of the daily transaction.<br>3)	Planned V/s Trans.  : - Displays graphical representation which shows total planned budget and total transaction incurred within the specified date range. (User can add/remove date filter).<br>4)	Planning Report: - List of categories with total income/expense expected during month.<br>5)	Transaction Report: - List of transactions occurred in between range of dates (user can add/remove date filter).<br>6)	Planned V/s Trans. Report.:- Shows total planned budget with different categories V/s total transaction incurred between range of date (user can add/remove date filter).<p><p>Use-case of Planning<br>I.	Select Category i.e. Income/ Expense.<br>II.	Enter the amount in provided input box. If desired budget item is not found, user can add category from the Category form.<p>III.	Select the duration of the amount, i.e. <br>Monthly: - entered amount is monthly.<br>Yearly: - for yearly based amount.<br>Weekly: - for weekly based amount.<br>Fortnight: - for 14 day based amount.<br>Default: - Monthly.<br>IV.	And click on Save Planning. (Changes will not be saved if user doesn't clicks on Save Planning button)",4.2,4,0.0,1,1,0,com.iprogrammer.app.mybudgetplanner,"['vectory.budget', 'com.simplebudget', 'ro.an.monthlybudget', 'com.financial.cashdroid.ads']"
Mobile Banking for Android,"*** This application will no longer be available for download or use as of 1/1/2012. ***<p>Mobile Banking allows you to access account balances, pay bills & transfer funds via your mobile device.  Visit <a href=""http://www.google.com/url?q=http://www.mobilebanking.com&usg=AFQjCNGKrqaJwpe9E_26zxTh6zEQTpqzpg"" target=""_blank"">www.mobilebanking.com</a> for more information.",3.6,8896,0.0,4,0,1,biz.firethorn.ftap,"['com.monitise.mmb.client.android.MobileMoneyUS', 'com.moneypass', 'com.monitise.mmb.client.android.USBankAccelaPay', 'com.monitise.mmb.client.android.USBankReliaCard']"
UFCU Mobile Banking,"Welcome to UFCU Mobile Banking. You are one step closer to having access to UFCU whenever, wherever you are. It???s a fast, secure and free* way to get 24/7 access to your UFCU accounts from your iPhone, iPod touch or iPad.<br>UFCU Mobile Banking benefits:<br>???	Improved account history item descriptions<br>???	Accessibility to more account balances including Credit Card balances and Mortgage balances<br>???	Ability to sign in and out of accounts using mobile username and password<br>???	Multiple account access<br>???	Mobile Deposit Capture (End of Year 2011)<br>???	ATM/Branch Locator<br>Ready to enroll in UFCU Mobile Banking? <br>Go to <a href=""http://www.google.com/url?q=http://mbank.ufcu.org/register&usg=AFQjCNFKiywVuajGa6huIKMivLxCITUodw"" target=""_blank"">mbank.ufcu.org/register</a>  and get started today.<br>By the way, security is our priority.<br>UFCU has developed a mobile banking solution with your security in mind. You can rest assured that your accounts are safe with the following security measures:<p>??? All information transmitted is encrypted with state-of-the-art encryption methods.<br>??? If your device is lost or stolen, you can disable the app quickly online.<br>??? Only transfers between existing accounts can be made.<br>??? Only bill payments to existing billers can be made.<br>*UFCU does not charge a fee for the use of UFCU Mobile Banking. Standard messaging and data rates may apply.",3.2,18,0.0,1,0,0,com.mfoundry.mb.android.mb_ufcu,"['Fi_Mobile.JSC', 'nao.StockLite', 'com.bankofamericanfork', 'Fi_Mobile.UHCU']"
Scholarships And Grants Today,"Official Source For Free Grants & Scholarships.  If it isn't here it's not real.<p>Official source for free government grants and scholarships.  This app provides information on private grants and scholarships as well.  This is your one stop shop for real and official grants and scholarships for mom, dads, students, business, homes and every other scholarship.",3.8,11,0.0,1,2,0,com.dreamstep.wScholarshipGrantsToday,"['ro.an.monthlybudget', 'com.autocare', 'com.chaweng.forex']"
